,id,vehicle_brand,vehicle_age_years,mileage_km,engine_hours,last_service_km_ago,oil_quality_pct,avg_trip_length_km,weather_exposure,fuel_type,cleanliness_score,driver_satisfaction_score,tyre_type,breakdown_next_30_days
50,259,Volkswagen,3.0,62367.237665693385,2270.368135041058,8415.052499954427,57.672291253137736,39.06268405933583,medium,diesel,66.49804011630765,6.709858765833147,all-season,0
51,475,BMW,9.0,64062.91759142991,2298.689865479766,1276.9086304562202,65.61655036958402,7.653100123427841,medium,electric,62.573026135952375,6.686152885610017,winter,0
52,1265,Hyundai,4.0,152025.77979698402,5505.363831327811,228.13475455733496,58.82944339612117,9.376392821984624,medium,diesel,81.83706600243582,8.272913760863215,all-season,0
53,1194,Renault,10.0,86713.22108460864,3010.9125717239344,40592.19512041444,67.20795413334464,4.286980871403209,low,petrol,75.96501787732949,6.287011064108085,winter,1
55,626,BMW,5.0,49580.89481546522,1649.596497622249,5500.762966440773,34.609771344272644,29.44488213189649,high,petrol,94.17287709937656,8.031007901888623,winter,0
56,965,Kia,12.0,247135.01044454292,8408.027455666524,29079.783763359763,49.95321961997808,8.802486085855536,low,hybrid,64.41835804248352,7.21229950666642,all-season,1
57,619,Renault,11.0,120217.48210015106,3728.361503680682,2121.426718430183,50.14417391555992,11.27072762141994,medium,diesel,68.83786025681931,9.107340127740766,summer,0
58,1204,Renault,13.0,206757.6227961772,7148.94484694516,16470.422713139134,59.90747227699052,8.185715585663598,medium,petrol,78.33895072167923,5.855849882073799,winter,1
61,451,Hyundai,6.0,94668.24138406177,3116.1942995640634,9661.932319903675,50.86215313731585,6.685952726561234,low,electric,74.85524364286724,6.539658719016814,all-season,0
62,1183,BMW,1.0,77821.37186668032,2526.448192179452,12265.29537144183,37.45285852086887,31.655995760389978,high,hybrid,86.14337648069693,2.865933159682028,summer,0
63,1068,Ford,17.0,133550.5755602736,4496.295646107248,3720.013361124698,90.17635253539125,31.16076701331656,medium,petrol,68.83786025681931,5.649296415030857,winter,0
64,173,Ford,14.0,118085.94740052577,3779.467906847888,3317.7804847431908,39.43595388262721,4.135756094936294,medium,petrol,74.92168761110936,9.013573802416818,summer,0
65,1495,Volkswagen,12.0,223073.17227635504,6946.089538038533,20067.60281138257,60.73636120250425,47.20657852941785,low,petrol,45.2760790341863,8.197037537248486,winter,0
66,713,Volvo,5.0,248543.3166216167,8311.264210765255,1419.4332234822398,66.24488375505499,8.869389625896808,medium,petrol,85.57363663838937,5.012468141200677,all-season,0
67,1112,Hyundai,17.0,201609.66257115488,6442.298101285929,5359.134088648247,69.37771425763138,5.444317866114575,low,electric,67.75791265546763,9.15799821746364,winter,0
69,839,BMW,2.0,166138.03063063603,5824.319873449281,3517.4835925644425,64.394033210782,11.003589173555378,low,petrol,60.42857204365693,7.390511846806388,summer,0
71,368,Volkswagen,5.0,85370.6700654529,2752.1796904730486,20703.7061015462,22.064602392320623,2.3211322991399923,medium,diesel,73.11351809268544,8.240934750521845,all-season,0
72,981,Hyundai,9.0,131748.36963639437,4476.575987181337,10570.39072031265,60.56607323387701,4.425733601232836,high,hybrid,59.70061870561811,6.207539027857284,winter,0
73,1097,Ford,12.0,64788.2767314624,2072.494226506169,7559.899606325264,82.11507424567098,28.293661123883307,medium,petrol,43.53246725021981,5.508180613299612,summer,0
74,104,other,12.0,58594.898005823714,2138.008479616487,21020.146163031182,77.65606239120228,3.955619676671704,medium,diesel,45.35001777336847,5.790604527364234,summer,1
75,570,Volvo,2.0,104373.6920479661,3188.793396047208,9648.512612536168,46.03045805541099,163.54899179954862,low,petrol,60.55764425377713,6.964873556876858,winter,1
76,900,Volkswagen,2.0,129753.98556168204,4473.335878764084,9755.2234742165,83.26164887087882,70.89545920809849,low,diesel,52.59011667076576,6.315213488027615,winter,0
77,671,Toyota,11.0,88377.24043189186,2642.6744298761787,9672.033475990916,41.41431237337243,11.737647413847323,other,other,89.89332133101335,7.593601275068652,summer,0
78,184,Hyundai,7.0,147889.89251747177,4888.758854111256,13140.7155620728,26.22664184325108,10.110438197374645,low,diesel,56.55658312741795,5.045789642348312,all-season,0
79,77,Toyota,11.0,130077.94735899568,4112.868321374183,9319.881664130522,47.49100358797504,7.966935621033123,low,petrol,73.2825242172189,5.851289540100676,summer,0
80,1371,Volvo,14.0,152243.42963819375,5102.515970882207,9782.91213015184,44.20064578409539,9.01473038844398,medium,petrol,74.09202731557325,6.862552291281396,summer,0
81,825,Volvo,14.0,134083.96628364883,4173.188145313946,25642.72817357016,60.38446953629919,3.162460805033442,low,hybrid,45.40349319317527,7.88977441122903,all-season,1
83,461,Toyota,15.0,130327.25050081954,4058.5762862705296,21274.783237635584,40.01447847365027,11.483868978389124,high,other,65.18267975715823,6.908030430871134,all-season,1
84,1320,Volvo,16.0,82633.03657338199,2440.420313011491,3367.487336608038,21.095105654303858,72.09296985831739,low,petrol,72.36517749323873,5.661677678588731,winter,0
86,234,Renault,12.0,102262.08469818727,3276.162969841251,10525.83895147198,77.91964446871593,11.642946188663526,high,diesel,66.23826158494275,6.014005749719435,winter,0
87,38,Ford,2.0,114914.30916359051,3700.6411085374752,17334.75350630039,81.41696346437818,24.25919205011747,medium,hybrid,45.69261732871913,6.2675140053808045,all-season,0
89,1347,Toyota,0.0,90738.18126573332,3250.220255537414,13820.875889408764,59.85563496959809,31.633727884917302,low,hybrid,62.58131002262705,8.680589251188813,winter,0
92,421,BMW,9.0,232693.3902845533,8344.82579812726,3423.5589378575974,42.158619474998325,8.659929976097581,medium,diesel,80.57889630262999,6.789444515505739,summer,0
94,1180,Toyota,7.0,308279.8943126769,9837.984923457185,4894.726691602175,51.86129379730037,19.772990957692773,low,petrol,78.8939098180599,4.16351684143975,summer,1
96,1039,Volkswagen,4.0,122495.673056093,3908.915873630271,1083.1170531494115,30.38138259500236,48.19841380339439,low,petrol,61.02389352532764,9.03527497897649,all-season,0
98,630,Renault,0.0,124043.91720059376,4095.321232210138,1485.185621671426,45.49539182830214,21.311845942494266,medium,petrol,71.82108760055321,9.77876440340782,summer,0
99,1209,Volkswagen,2.0,62732.88152633248,2032.1398324853808,2615.477434356256,34.67930521131492,47.134187013692255,high,petrol,39.1867766214601,5.692987676631927,summer,0
102,1339,Ford,12.0,189899.93725209773,6042.911869286439,24902.382501362685,80.27735358070318,11.933955937007656,other,hybrid,55.84252333256044,8.611467540231054,all-season,0
103,1312,Kia,16.0,36310.38042050572,992.8437638462364,24739.96833643568,36.6981939304588,91.22654416402816,other,diesel,63.86125257945273,8.55841583844973,all-season,0
105,145,Hyundai,12.0,78078.2117114857,2710.2475129844693,13423.205218664569,60.56607323387701,2.1204360316202933,medium,hybrid,71.73467175743693,7.108556126512885,winter,0
107,636,Toyota,15.0,206621.3930998876,7198.529601050677,397.3994194065978,56.845994996903016,82.70423099942816,medium,diesel,55.752595758012205,6.223832224930295,winter,0
108,586,Toyota,12.0,142868.83131571198,4520.449571101647,6670.864061015576,51.34610633572897,6.6800140502416765,medium,petrol,61.26211328561427,5.518239723755281,all-season,0
109,1238,Renault,16.0,170375.67443221103,5451.984661504443,14217.7706551676,97.74196865417028,9.097969980845788,high,hybrid,86.2269671578136,6.713646666350224,winter,0
110,712,Hyundai,6.0,128872.8835809776,4312.447706162227,17155.542061045162,46.73303540269123,46.015472029526194,other,petrol,63.1754398606918,4.421218122904016,all-season,0
111,809,Toyota,19.0,219722.7750816019,7710.304753584178,4345.188378922849,49.09934831857818,12.421550061850446,other,hybrid,89.34294365531959,8.432765064737337,summer,1
114,248,Kia,4.0,50713.08024573688,1909.258456854967,521.9488460601042,61.6456648167681,4.42958681559655,medium,petrol,60.422879802159365,4.532414960648987,all-season,0
115,946,Renault,2.0,30708.148991461243,1044.3472910397472,7483.097814196968,72.50509443804123,6.323877418475438,medium,diesel,68.77896778862957,6.972803965742807,all-season,0
116,1307,Toyota,9.0,177161.78182793257,5601.7559341243,55.73921524359267,51.30517818609174,13.32395186816202,high,petrol,85.71580713342858,6.602553908743562,summer,1
117,387,Toyota,4.0,43839.42001383674,1736.828718130612,18924.55214039309,29.38165704169885,12.62585926729373,low,other,51.68282152654577,6.039884472427509,summer,0
118,1415,Renault,14.0,94223.42663628036,3263.1828011528933,20497.51884960696,99.6932382017974,5.291562548562174,low,other,71.96602725967087,7.038763951599302,all-season,0
121,728,BMW,9.0,98112.29184974956,3492.2679022925395,13757.434336240674,31.47834749805875,4.071860141626766,medium,petrol,68.83786025681931,6.819134882686804,winter,1
124,801,Ford,10.0,45467.42489996603,1633.389223639837,4280.61474139838,70.80630306210116,12.785430985865046,medium,diesel,76.79254279623567,8.75321112614677,winter,0
125,1288,Hyundai,4.0,193589.00863086912,6575.815824492423,4898.1174522806095,25.522385337572945,20.62823483007136,medium,diesel,54.04103775961762,7.111820795229605,all-season,0
127,962,BMW,9.0,137256.85761320085,4743.694064141366,9890.759763657548,83.55476381198439,48.6352286054647,low,petrol,79.74870194923932,6.649300440859311,winter,0
129,644,Volvo,1.0,148391.49362016347,4843.787051975814,2443.410751085344,56.1727143387181,16.802156638646984,high,petrol,48.75257920124347,5.185647991417216,all-season,0
130,1235,Kia,9.0,213681.10329957772,7130.042830331834,22860.0813043136,60.56607323387701,25.95183859472354,high,hybrid,64.78150678668571,5.405449805205283,all-season,0
131,318,Toyota,12.0,277207.39435870684,8897.1649207541,2479.4363513143167,66.29802872942506,10.597492897482224,medium,diesel,53.36006708873824,6.782690052089776,all-season,0
132,260,Volkswagen,0.0,194434.0507889645,6526.3997127833245,13878.65594603262,72.55071830563506,38.80893732236305,high,hybrid,71.87845155800278,6.852966887365024,summer,0
133,832,Kia,10.0,79115.20411833303,2654.280939689545,9001.087091823621,23.503640595326143,6.140335308500519,low,electric,69.32829041758475,6.401653985788611,all-season,0
134,129,Toyota,1.0,81908.1948240147,2786.756508737933,4629.7092530804375,60.40941690457269,11.017085073711094,high,diesel,54.16039801412044,7.552347158060858,winter,0
136,1058,Renault,15.0,65598.19417595826,2366.6686443515696,4053.86659463996,69.04859429238603,4.512730255482231,medium,hybrid,69.70875090091461,6.484573642407954,all-season,1
137,791,Hyundai,11.0,85337.82743160981,2944.5150709171853,9242.60476077953,95.33987846899032,16.955398276878366,high,petrol,79.56688505488047,5.515290704780653,winter,0
140,1322,Kia,4.0,73457.92872125919,2582.054151784133,1660.415030815882,93.03532082307817,62.17563656057454,high,hybrid,59.97066349100773,8.932091699065538,all-season,0
141,1110,BMW,2.0,115117.10584161096,4117.774632679173,260.92501346637005,42.609292798883786,9.976113806993473,medium,diesel,59.465311863918735,7.827937010406,summer,0
142,1094,Toyota,12.0,92527.31840435544,3146.262627868131,6169.884261797596,72.63492662248089,15.468951225383105,medium,hybrid,75.20205029339012,4.439676589850351,all-season,0
143,987,Ford,4.0,100191.84217902205,3043.25205490727,45.59854539845683,0.0,8.93763442468,low,petrol,72.3742395261206,6.233954591005407,winter,0
148,896,Volvo,5.0,159019.93283866972,5404.206742298744,21534.45787498988,60.56607323387701,2.2410287845197487,high,hybrid,66.71922117009848,6.19503526199756,summer,1
149,365,Kia,7.0,63792.28899585357,1966.4375806691444,8320.267399677343,49.34780034488383,10.725916426508949,low,petrol,84.13938683123638,6.700450809676372,winter,0
151,227,Renault,14.0,179312.57163454572,6275.037577731771,11425.69001207662,66.31811595311507,42.8032228876414,low,diesel,76.46541351068785,5.224208725054544,winter,0
152,1494,Volkswagen,1.0,96704.97516013237,3086.8596926425744,10311.65398284958,33.831950715289054,196.74739131851183,low,petrol,78.25642356250131,8.32390276752377,winter,1
154,1193,Toyota,4.0,98475.97922263994,3231.972892030791,2940.214391182285,42.466550446763655,1.0395111303915812,other,petrol,81.67005835228761,6.8597762801704345,summer,0
155,376,Renault,3.0,258300.8745784404,7983.08120445346,3559.467393435604,38.845065626287024,5.480921044687356,medium,hybrid,65.49470224541311,8.153345931940594,winter,0
156,919,BMW,8.0,146538.43544755317,5010.51924303487,23443.178291103864,77.23824820619201,67.42731140609466,low,petrol,56.74451881834408,7.182088289893854,all-season,0
157,1116,Volkswagen,9.0,129482.3246434638,4339.787706741683,6489.071776766267,74.70312709395044,10.257712719160743,low,hybrid,84.22731301218285,3.6545557814664247,all-season,0
158,457,Ford,4.0,284282.34200309456,9699.002397306514,5517.848984642409,91.09282349891356,9.743026771974518,low,hybrid,67.95290096936341,7.429935390263251,all-season,1
159,513,BMW,9.0,70290.88924621053,2361.710821957755,11526.236663858504,76.3314759677793,5.233007243322659,medium,diesel,90.23424825646,9.161052249564198,summer,0
160,1447,Hyundai,11.0,193091.60936694773,6184.7431689283485,3299.124160410912,97.12138721430944,6.518311190138407,high,petrol,63.77466641860703,8.85806075189232,summer,0
161,764,Hyundai,7.0,78728.511223544,2518.978657745672,9067.368942275649,92.74959535924852,14.455986077968271,high,petrol,84.46749322070174,5.905836083977966,winter,0
165,991,Ford,11.0,63315.687923801976,2096.296723926472,36199.48320457176,48.757741181072014,47.837384358828416,low,diesel,76.7392011492458,5.461602625990265,all-season,1
168,1290,Ford,11.0,97830.32854953596,3292.356104218072,1904.171995544542,43.83581715068797,14.842180109561628,low,electric,65.6588758118409,6.05779209166794,all-season,1
170,1297,Volkswagen,9.0,150404.95864268625,5000.05149415878,8117.235168147471,78.48623314005053,18.94328031064455,medium,petrol,71.05972935627362,6.983257675996256,summer,0
171,1448,Ford,20.0,323339.62121026625,10116.184470685925,2498.831896306483,55.6056078483388,43.11693956427259,medium,diesel,69.50454743948843,7.230502145351974,all-season,1
172,834,BMW,14.0,245177.87819473285,7302.349148256414,21595.02672250071,72.12241526851747,39.16239752913265,low,diesel,66.23317536867181,6.598547127681136,summer,0
173,1132,BMW,9.0,78461.85882052753,2494.925460449137,2951.7712410854947,60.401473912820215,13.945319697607596,low,diesel,55.33260611037665,7.044673222495925,winter,0
174,315,BMW,4.0,140296.54490987328,4167.94625409444,26741.44320998368,58.3879731374488,91.16480615707714,high,electric,74.45197769093603,8.86673083776607,summer,1
175,973,Toyota,6.0,120005.24275554778,4123.211718154242,13381.624104577491,86.38786516775426,5.098543902498922,low,petrol,48.4140289572462,6.709267838622009,summer,0
176,1207,Volkswagen,0.0,207455.6650984852,7205.062722805466,19328.499640054448,52.85404721562328,14.39945445914416,high,diesel,44.20390154361013,6.268635690160967,all-season,0
180,1451,Volvo,7.0,56220.786355624085,1678.2535521528464,2177.8051052226792,57.30987820241101,30.99980881334515,low,petrol,53.00936574400375,5.789194532620781,all-season,0
181,1115,Renault,14.0,66668.78047890161,2105.605473932332,16594.102315289594,55.60614147356147,24.535697423949856,low,other,69.70875090091461,8.64554685434395,summer,0
182,658,Volkswagen,9.0,40610.16262628247,1203.2524411237407,27567.055593702127,58.99469643263442,12.324115719715168,low,petrol,84.50374582676746,5.841617484275927,winter,0
183,118,Ford,9.0,215222.14930918187,7076.391232871824,3933.0545539936143,67.12658354635602,13.09703685194399,medium,other,53.11782401390512,7.274907674041698,winter,0
185,477,Kia,15.0,154997.19648799868,4928.783158321002,11218.69713361393,78.0445471672616,13.073436434679104,high,petrol,53.60077043608264,6.4845362303747685,summer,0
186,802,Ford,18.0,64191.26099857067,1995.3183603052,28051.41784605961,48.33187941129406,3.949500156119104,medium,petrol,69.70875090091461,5.861177918127072,all-season,1
188,890,Toyota,13.0,83981.94938081107,2851.5744484081706,11016.257615246388,35.59574998958463,23.69746239946994,low,diesel,86.56512826997204,5.613288920784196,all-season,0
190,747,BMW,20.0,80781.39287525995,2866.059232511456,3427.4572652079,78.00316610970842,23.807481523086945,low,diesel,87.25541137969851,8.860415503924923,winter,1
192,798,Kia,5.0,127132.46701945845,4594.499974405819,16800.821193583848,59.82342721118063,5.926626061402939,high,diesel,79.12100094544796,5.894439034727008,winter,0
193,1381,Renault,11.0,197862.1757631077,6810.804147693023,180.2248068657144,57.5123413422558,45.556399641063976,other,diesel,48.631313034617726,8.84482125927895,summer,0
194,219,Hyundai,5.0,54694.86090971603,1816.0461963256355,17827.809156000836,60.1016692090062,14.312908641061927,low,petrol,59.14547259502883,5.026746441756858,winter,0
195,269,Toyota,18.0,67838.9182216125,2326.297885818952,2318.660914899158,67.08608426424172,10.27898682768976,medium,diesel,66.5035951616935,6.295368866576147,winter,0
197,1083,Hyundai,8.0,138871.81669912807,4755.365416255553,19409.813736546923,91.52939771857184,19.182634464978303,high,petrol,72.56471571007984,7.640987848283149,summer,0
198,212,Renault,14.0,109270.60366456796,3614.8976434986175,887.2153518784622,52.529169480478295,13.08099972693641,high,petrol,72.12639282562705,6.291005050211577,all-season,1
199,701,Renault,18.0,101603.63609929194,3499.849899563705,3022.5938457883844,44.43636976340569,6.789940037397107,low,diesel,55.76249449242359,6.22488067569357,all-season,1
200,127,BMW,13.0,138471.99130015244,4397.304598113733,1025.934392519874,70.03411891480992,24.925777995055004,low,petrol,54.5755857852907,5.9615510248596015,summer,0
202,344,Renault,4.0,64257.66857302748,2263.725719676132,17266.48873468208,40.51775601443073,31.878325533969985,low,diesel,69.29126222848814,6.983257675996256,summer,0
203,9,Volvo,20.0,164825.7202420261,5460.193573379885,9494.55116255048,57.80342441559419,14.171511832277355,medium,petrol,71.40013114331626,6.923436055145024,winter,1
204,1023,BMW,3.0,93913.98255659272,3373.744794239499,11562.06798521728,64.26341887578805,6.881718976282855,low,petrol,80.21579115527375,8.826426707087396,summer,0
205,697,Volkswagen,14.0,127265.51910270496,4316.171287158581,24688.62288055457,47.45941236184029,30.06458201870277,low,petrol,69.24181929058423,7.287735487659381,all-season,0
207,257,Ford,10.0,78430.84014774341,2526.0246470871903,10205.600021358609,82.53400914374363,78.4446541095534,medium,diesel,68.83786025681931,4.54558993475463,all-season,0
209,270,Volvo,4.0,148288.4601934668,4977.172358798855,1659.722464207998,72.09981773715347,15.921666811891878,low,petrol,64.1158128321047,7.18634575554425,winter,1
210,998,Hyundai,11.0,83799.02588281088,2772.147278446469,9945.380205045643,79.41249441560853,31.4105973018622,medium,petrol,71.05441117019026,6.484354586023104,winter,0
212,164,Toyota,9.0,137565.69520227917,4683.430663824207,7592.641566481233,40.99517417771555,39.77606520548202,medium,petrol,61.62122756554483,7.326089111510272,winter,0
213,121,Toyota,15.0,65982.6986295739,2285.5247971063804,10707.42239705834,71.80909996993715,18.043612143333903,high,diesel,75.31395618964868,9.363743971428285,all-season,0
215,830,Volkswagen,2.0,60960.58504953227,2153.876016679844,5263.197673701381,52.42889566232394,4.608913031159472,low,electric,41.2245354174247,9.125160359103846,all-season,1
216,816,Hyundai,11.0,89240.20507590547,3009.3535137742047,3203.6882469917787,55.7250664057846,88.58957019057901,low,diesel,83.16457752879994,6.253151623849548,all-season,0
217,535,Volkswagen,4.0,126208.65895238804,4285.884719294631,8608.957846850595,55.61749620199145,7.4783758565028995,low,petrol,53.53233900448343,7.787111646819128,winter,0
219,495,Volvo,0.0,138443.86139729095,4816.452637344021,11321.271376174029,76.68765070288767,15.774207944247614,low,petrol,87.85742034246485,6.124873698993159,winter,0
221,271,Volkswagen,12.0,230133.64045624767,7824.621686497267,17478.81556017036,96.91715538123228,46.021352393618514,low,diesel,90.24985564165488,7.556666859830555,summer,0
222,1156,Ford,0.0,146249.84660041722,5089.800846007245,1865.1452982483024,44.205131703890665,10.186714967148715,low,petrol,61.65964669313687,2.6086352328130045,summer,0
223,160,Toyota,18.0,254291.8129747261,8463.427647623217,226.2055776065688,46.24184166823922,47.69275663714135,low,hybrid,63.64625453299909,5.917062729369532,all-season,1
224,506,BMW,7.0,120419.77912721028,4191.452443697522,2956.757177553374,58.036546788463376,21.848283514517195,medium,hybrid,59.033279355957646,8.109597807454064,winter,0
225,914,BMW,11.0,81009.19725640527,2513.2473724278098,17679.56046861551,21.50468800469837,8.428260285651463,low,diesel,56.77661952071605,6.876800926843016,all-season,1
226,454,Renault,3.0,85388.7619083405,3342.274312976379,1534.194949128895,69.1646495064477,22.677709576564563,medium,petrol,98.24209438088526,4.400747807499781,summer,1
227,1166,Renault,7.0,66951.07826408384,2205.783512242714,7838.331676586954,72.27163559817578,11.119605050726491,medium,hybrid,93.4784925833661,7.701311567039123,all-season,1
228,1456,BMW,6.0,156524.1912774841,5317.679387708177,1123.3282771073234,66.1490128473338,11.77098788465309,low,hybrid,60.56078578961764,8.19951917039842,all-season,0
229,679,Volvo,1.0,211394.2191043376,7464.294285500946,12857.436080119816,82.9376388611852,39.46391110953802,medium,diesel,74.03656692719967,8.404657206855104,winter,0
230,5,Toyota,14.0,98503.641247924,3607.183385197077,3847.142656381991,77.31746374544825,46.353493081075264,medium,diesel,61.3528740053375,8.627403649672821,winter,1
232,120,Volvo,8.0,190282.73350009747,6309.538276930782,7880.033681435221,89.78128580330106,38.540993443953255,medium,petrol,81.88947283026096,6.026238875470336,summer,0
234,491,Ford,12.0,91737.68515070716,2955.890295271344,1110.1420066719745,60.56607323387701,9.894884906735804,low,petrol,80.49184044348439,5.657059735576286,all-season,1
235,146,Volkswagen,19.0,68850.6546956468,1834.1141974746445,1623.1563568754502,19.03221795756798,6.003537612839063,low,petrol,44.61941587734371,6.983257675996256,summer,0
236,845,Hyundai,5.0,139561.25247861363,4446.288931806828,1319.0418205180265,42.19596554642051,16.175488908248344,high,diesel,69.860574017057,6.6336331736567535,summer,0
237,957,Ford,12.0,59854.274471590434,2157.8163444428337,22708.539667742018,60.54093248601648,8.327659316048305,medium,petrol,99.50985068503216,6.540945008523179,summer,0
238,1077,BMW,4.0,113995.82762195094,3695.9706730206185,21613.143767504745,43.08395203719839,1.5072550814608774,low,diesel,67.58544501589685,8.066660124030342,summer,0
240,430,Volkswagen,11.0,237018.84938785585,8183.151367576943,7897.244579691056,90.72998461896752,7.515087632185583,medium,electric,58.898724628621984,9.034358618056563,all-season,0
243,986,Kia,13.0,148773.4762410444,4660.934171144499,12519.00267309757,60.56607323387702,2.8001933930701246,high,petrol,77.48609752006199,7.877000994640527,winter,0
244,463,Volvo,3.0,39328.61371455998,1310.5606770711286,1511.1961831106398,78.12779296189963,18.96526002389521,medium,petrol,61.76230992354171,4.5071351446273695,all-season,0
245,621,Ford,4.0,62243.8427194144,2067.366171044042,1721.4966558236722,26.963548342281094,99.6143352662784,low,petrol,68.6687113377487,5.439853434099599,all-season,1
246,1488,Volkswagen,7.0,70056.93410134343,2412.6827350222225,11143.831423753243,74.3167046511967,11.403537812882922,medium,diesel,70.28964317994932,6.512967071254864,summer,1
